record_id,product_id,sku,cpu,ram_gb,storage_gb,gpu,screen_size_inch,weight_kg
thegioididong_366703,366703,,AMD Ryzen AI 5 - 340,16.0,512.0,Card tích hợp - AMD Radeon 840M Graphics,13.3,0.99
thegioididong_311177,311177,,Intel Core i7 Raptor Lake - 1355U,16.0,512.0,Card tích hợp - Intel Iris Xe Graphics,15.6,1.69
thegioididong_341563,341563,,Intel Core 5 Raptor Lake - 210H,16.0,512.0,"Card rời - NVIDIA GeForce RTX 3050, 6 GB",16.0,2.49
thegioididong_367378,367378,,Intel Core Ultra X7 - 358H,32.0,1024.0,Card tích hợp - Intel Arc Graphics,14.0,1.12
thegioididong_322099,322099,,Intel Core Ultra 7 Meteor Lake - 155H,16.0,512.0,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",15.6,1.98
thegioididong_357988,357988,,Intel Core 7 Raptor Lake - 150U,16.0,1024.0,"Card rời - NVIDIA Geforce MX570A, 2 GB",14.0,1.63
thegioididong_335020,335020,,Intel Core Ultra 7 Lunar Lake - 258V,32.0,1024.0,Card tích hợp - Intel Arc 140V,14.1,1.6
thegioididong_337472,337472,,Intel Core i7 Raptor Lake - 1355U,16.0,512.0,Card tích hợp - Intel Iris Xe Graphics,15.6,1.66
thegioididong_341621,341621,,Intel Core 7 Raptor Lake - 150U,16.0,1024.0,Card tích hợp - Intel Graphics,15.6,1.65
thegioididong_361538,361538,,Intel Core Ultra 7 Lunar Lake - 256V,16.0,1024.0,Card tích hợp - Intel Arc Graphics,16.0,1.815
thegioididong_364181,364181,,AMD Ryzen 7 - 170,16.0,512.0,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",16.0,2.2
thegioididong_364414,364414,,AMD Ryzen AI 5 - 330,16.0,512.0,Card tích hợp - AMD Radeon Graphics,14.0,1.46
thegioididong_357987,357987,,Intel Core 5 Raptor Lake - 120U,16.0,1024.0,Card tích hợp - Intel Graphics,14.0,1.63
thegioididong_362625,362625,,AMD Ryzen AI 7 - 445,16.0,512.0,Card tích hợp - AMD Radeon 840M Graphics,14.0,1.2
thegioididong_325244,325244,,Intel Core 7 Raptor Lake - 150U,16.0,512.0,Card tích hợp - Intel Graphics,14.0,1.67
thegioididong_369845,369845,,Intel Core Ultra 5 Meteor Lake - 225U,16.0,512.0,Card tích hợp - Intel Graphics,14.0,1.41
thegioididong_359471,359471,,Intel Core i5 Raptor Lake - 13420H,16.0,512.0,Card tích hợp - Intel UHD Graphics,15.6,1.61
thegioididong_364979,364979,,Intel Core 7 Raptor Lake - 240H,16.0,512.0,"Card rời - NVIDIA GeForce RTX 3050, 6 GB",15.6,2.07
