record_id,product_id,sku,connection_type,keyboard_type,switch_type,layout,backlight
thegioididong_328228,328228,,,Full size,Giả cơ,,
thegioididong_328174,328174,,,,,,
thegioididong_322597,322597,,,Full size,Membrane giả cơ,,
thegioididong_362472,362472,,,Full size,Silent Switch,,
thegioididong_337870,337870,,,Cỡ 96%,Kailh Ice Cream Pink,,
thegioididong_370499,370499,,,Full size,DareU,,
thegioididong_368612,368612,,,Cỡ 98%,EDRA Switch,,
thegioididong_362469,362469,,,Full size,Silent Switch,,
thegioididong_362389,362389,,,Tenkeyless (Rút gọn),Giả cơ,,
thegioididong_361567,361567,,,Full size,Giả cơ,,
thegioididong_361496,361496,,,Full size,Scissor Switch,,
thegioididong_359548,359548,,,Cỡ 75%,Snow Switch,,
thegioididong_359223,359223,,,Chiclet,Tactile scissor-switch,,
thegioididong_359222,359222,,,Chiclet,Tactile scissor-switch,,
thegioididong_357667,357667,,,Full size,Razer Mecha-Membrane Switches,,
thegioididong_357664,357664,,,Cỡ 60%,Razer™ Analog Optical Switch Gen-2,,
thegioididong_357663,357663,,,Full size,Razer™ Analog Optical Switch Gen-2,,
thegioididong_357647,357647,,,Full size,Razer Yellow Mechanical Switches (Linear),,
thegioididong_357646,357646,,,Full size,Razer Green Mechanical Switches (Clicky),,
thegioididong_357644,357644,,,Cỡ 75%,Razer Mechanical Switches Gen-3 (Tactile),,
thegioididong_357628,357628,,,Cỡ 75%,Razer Mechanical Switches (Tactile),,
thegioididong_357614,357614,,,Cỡ 75%,Razer Mechanical Switches (Tactile),,
thegioididong_357612,357612,,,Full size,Razer Yellow Mechanical Switches (Linear),,
thegioididong_334430,334430,,,Tenkeyless (Rút gọn),Cream Yellow,,
thegioididong_331850,331850,,,Cỡ 75%,Cream Yellow Pro,,
thegioididong_327809,327809,,,Tenkeyless (Rút gọn),HyperX Aqua,,
thegioididong_368613,368613,,,Cỡ 68%,Magnet Switch,,
thegioididong_366837,366837,,,Full size,Akko Frost Pink,,
thegioididong_366836,366836,,,Full size,Akko Frost Pink,,
thegioididong_366835,366835,,,Full size,Akko Frost Pink,,
thegioididong_363943,363943,,,Chiclet,Membrane (dome mềm),,
thegioididong_363942,363942,,,Chiclet,Membrane (dome mềm),,
thegioididong_362727,362727,,,Cỡ 96%,Membrane giả cơ,,
thegioididong_362726,362726,,,Cỡ 96%,Membrane giả cơ,,
thegioididong_362725,362725,,,Tenkeyless (Rút gọn),Membrane giả cơ,,
thegioididong_362545,362545,,,Full size,Membrane giả cơ,,
thegioididong_362539,362539,,,Low Profile,Scissor Switch,,
thegioididong_362534,362534,,,Full size,Scissor Switch,,
thegioididong_362531,362531,,,Full size,Membrane giả cơ,,
thegioididong_362544,362544,,,Full size,Membrane giả cơ,,
thegioididong_362543,362543,,,Full size,Membrane giả cơ,,
thegioididong_362542,362542,,,Full size,Membrane giả cơ,,
thegioididong_362541,362541,,,Full size,Membrane giả cơ,,
thegioididong_362540,362540,,,Low Profile,Scissor Switch,,
thegioididong_362538,362538,,,Low Profile,Scissor Switch,,
thegioididong_362537,362537,,,Compact (Rút gọn),Mechanical Switch,,
thegioididong_362536,362536,,,Compact (Rút gọn),Mechanical Switch,,
thegioididong_362535,362535,,,Compact (Rút gọn),Mechanical Switch,,
thegioididong_362533,362533,,,Full size,Scissor Switch,,
thegioididong_362532,362532,,,Compact (Rút gọn),Membrane giả cơ,,
thegioididong_362394,362394,,,Tenkeyless (Rút gọn),CORSAIR MLX Plasma linear mechanical pre-lubricated,,
thegioididong_362393,362393,,,Tenkeyless (Rút gọn),CORSAIR MLX Plasma linear mechanical pre-lubricated,,
thegioididong_362392,362392,,,Tenkeyless (Rút gọn),Pre-lubricated CORSAIR MLX Red v2 linear,,
thegioididong_362390,362390,,,Cỡ 75%,CORSAIR MLX Fusion Tactile,,
thegioididong_361546,361546,,,Cỡ 75%,Alienware Linear Mechanical Switches,,
thegioididong_370691,370691,,,Full size,DareU,,
thegioididong_370690,370690,,,Full size,Akko V3 Piano Pro,,
thegioididong_370689,370689,,,Cỡ 75%,Akko V3 Piano Pro,,
thegioididong_370688,370688,,,,Akko Frost Pink,,
thegioididong_370687,370687,,,,Akko Frost Pink,,
thegioididong_370686,370686,,,,Akko Frost Pink,,
thegioididong_370681,370681,,,,Akko Frost Pink,,
thegioididong_370678,370678,,,Full size,Akko Frost Pink,,
thegioididong_370677,370677,,,Cỡ 65%,Akko Stellar Rose Switch,,
thegioididong_370676,370676,,,Cỡ 75%,Akko Frost Pink,,
thegioididong_368607,368607,,,Hãng không công bố,Golden Grain,,
thegioididong_368143,368143,,,,,,
thegioididong_368090,368090,,,,,,
thegioididong_368089,368089,,,Cỡ 75%,Logitech GX Tactile,,
thegioididong_368088,368088,,,Cỡ 75%,Logitech GX Tactile,,
thegioididong_363944,363944,,,Chiclet,Membrane (dome mềm),,
thegioididong_363540,363540,,,Full size,Membrane giả cơ,,
thegioididong_362724,362724,,,Tenkeyless (Rút gọn),Membrane giả cơ,,
thegioididong_362723,362723,,,Tenkeyless (Rút gọn),Membrane giả cơ,,
thegioididong_362722,362722,,,Tenkeyless (Rút gọn),Membrane giả cơ,,
thegioididong_361508,361508,,,Cỡ 75%,Alienware Linear Mechanical Switches,,
thegioididong_361493,361493,,,Full size,Scissor Switch,,
thegioididong_361483,361483,,,Full size,Scissor Switch,,
thegioididong_359549,359549,,,Cỡ 75%,Storm Switch,,
thegioididong_362475,362475,,,Full size,Membrane giả cơ,,
thegioididong_362473,362473,,,Full size,Silent Switch,,
thegioididong_362471,362471,,,Full size,Silent Switch,,
thegioididong_362470,362470,,,Full size,Silent Switch,,
thegioididong_357605,357605,,,Tenkeyless (Rút gọn),Razer Yellow Mechanical Switches (Linear),,
thegioididong_357604,357604,,,Tenkeyless (Rút gọn),Razer Green Switch,,
thegioididong_357603,357603,,,Full size,Razer Green Switch,,
thegioididong_351688,351688,,,Tenkeyless (Rút gọn),Akko Mirror Switch,,
thegioididong_368609,368609,,,Cỡ 68%,Magnet Switch,,
thegioididong_362513,362513,,,Cỡ 75% - Low Profile,X-Scissors,,
thegioididong_359225,359225,,,Full size,Linear,,
thegioididong_357665,357665,,,Tenkeyless (Rút gọn),Razer™ Analog Optical Switch Gen-2,,
thegioididong_359228,359228,,,Cỡ 75%,Linear,,
thegioididong_328173,328173,,,,,,
thegioididong_366046,366046,,,Full size,Akko Frost Pink,,
thegioididong_326401,326401,,,Tenkeyless (Rút gọn),DareU DREAM switch,,
thegioididong_368617,368617,,,Hãng không công bố,Switch từ tính,,
thegioididong_339123,339123,,,Full size,DareU Cloud switch,,
thegioididong_368625,368625,,,,3 triệu lần nhấp (3M),,
thegioididong_362515,362515,,,Full size,Silent Switch,,
thegioididong_339139,339139,,,Full size,,,
thegioididong_331864,331864,,,Full size,Akko V3 Piano Pro,,
thegioididong_328492,328492,,,Hãng không công bố,Red Switch,,
thegioididong_331136,331136,,,Mini size,,,
thegioididong_332193,332193,,,Hãng không công bố,,,
thegioididong_362516,362516,,,Cỡ 75% - Low Profile,X-Scissors,,
thegioididong_341121,341121,,,Full size,,,
thegioididong_339125,339125,,,Full size,Membrane giả cơ,,
phongvu_1202903,7438,1202903,,,,,
phongvu_1202937,4288,1202937,,,,,
phongvu_1202938,8211,1202938,,,,,
phongvu_1503133,9080,1503133,Wireless,,,,
phongvu_1503243,9088,1503243,Bluetooth,,,,
phongvu_1602542,9569,1602542,,,,,
phongvu_1701205,3139,1701205,,,,,
phongvu_1703677,6583,1703677,,Mechanical,,,
phongvu_1703678,6584,1703678,,Mechanical,Optical Switch,,
phongvu_1703737,6992,1703737,,,,,
phongvu_1703750,190,1703750,,,,,
phongvu_1703782,5243,1703782,,,,,
phongvu_1800231,23471,1800231,,,,,
phongvu_1808294,33008,1808294,,,,,
phongvu_1810781,34840,1810781,,Mechanical,Red Switch,,
phongvu_18110029,37310,18110029,,,,,
phongvu_19040963,40504,19040963,,Mechanical,D Switch,,RGB
phongvu_19040964_SUB_1,40504,19040964_SUB_1,,Mechanical,D Switch,,RGB
phongvu_19050529,41106,19050529,,Mechanical,,,
phongvu_200300352,69040,200300352,,Mechanical,,,
phongvu_200300353,69040,200300353,,Mechanical,,,
phongvu_200600655,67249,200600655,,Mechanical,Switch Blue,,LED
phongvu_200700097,69040,200700097,,Mechanical,,,
phongvu_201000932,80759,201000932,,,,,
phongvu_210200598,149445,210200598,Wireless,,,,
phongvu_210200599,149445,210200599,Wireless,,,,
phongvu_210700023,296793,210700023,Wireless,Mechanical,,,
phongvu_210700024,296793,210700024,Wireless,Mechanical,,,
phongvu_210700025,296793,210700025,Wireless,Mechanical,,,
phongvu_211000720,386914,211000720,,Mechanical,,,RGB
phongvu_211000721,386914,211000721,,Mechanical,OPX Switch,,RGB
phongvu_211003699,390609,211003699,Wireless,,,,
phongvu_211003701,390609,211003701,Wireless,,,,
phongvu_211003702,390612,211003702,Wireless,,,,
phongvu_220100318,411429,220100318,Wireless,Mechanical,White Switch,,
phongvu_220100319,411429,220100319,Wireless,Mechanical,Red Switch,,
phongvu_220100320,411429,220100320,Wireless,Mechanical,Yellow Switch,,
phongvu_220100321,411431,220100321,Wireless,Mechanical,Axis Switch,,
phongvu_220100323,411431,220100323,Wireless,Mechanical,Axis Switch,,
phongvu_220100324,411431,220100324,Wireless,Mechanical,Axis Switch,,
phongvu_220103958,414146,220103958,,Mechanical,Tactile Switch,,
phongvu_220103959,414147,220103959,,Mechanical,Tactile Switch,TKL,
phongvu_220700067,440587,220700067,Wireless,,,,
phongvu_220706624,442517,220706624,,,,,
phongvu_220805960,447749,220805960,Wireless,Mechanical,Red Switch,,
phongvu_220805963,447752,220805963,Wireless,,,,
phongvu_220805964,447752,220805964,Wireless,,,,
phongvu_221002611,465769,221002611,,Mechanical,Green Switch,,
phongvu_221002615,465773,221002615,,Mechanical,,,
phongvu_221002622,465780,221002622,,Mechanical,,,
phongvu_221002642,465800,221002642,,,,,
phongvu_221003457,466959,221003457,,,,,RGB
phongvu_221201649,470945,221201649,,Mechanical,,,
phongvu_221201855,471118,221201855,Wireless,Mechanical,Purple Switch,,
phongvu_221201856,471118,221201856,Wireless,Mechanical,Red Switch,,
phongvu_221201857,471118,221201857,Wireless,Mechanical,Yellow switch,,
phongvu_230105816,498444,230105816,,,,,
phongvu_230202445,396961,230202445,,,Optical switch,,
phongvu_230203658,502541,230203658,,Mechanical,,,
phongvu_230203660,502543,230203660,,,,,RGB
phongvu_230203665,502548,230203665,,Mechanical,D Switch,,RGB
phongvu_230300020,504681,230300020,,,Optical switch,,
phongvu_230302897,507354,230302897,Wired,,Aqua Switch,,
phongvu_230302898,507354,230302898,Wired,,Red Switch,,
phongvu_230304552,508392,230304552,,,,,RGB
phongvu_230401900,510987,230401900,Wired,Mechanical,Yellow Switch,,
phongvu_230401901,510987,230401901,Wired,Mechanical,Green Switch,,
phongvu_230603109,516743,230603109,Wireless,Mechanical,AKKO switch,,
phongvu_230603110,516743,230603110,Wireless,Mechanical,AKKO switch,,
phongvu_230603113,516747,230603113,Wireless,Mechanical,AKKO switch,,
phongvu_230603114,516747,230603114,Wireless,Mechanical,AKKO switch,,
phongvu_230603115,516749,230603115,Wireless,Mechanical,AKKO switch,,
phongvu_230603116,516749,230603116,Wireless,Mechanical,AKKO switch,,
phongvu_230603463,517166,230603463,,,,,
phongvu_230604096,517899,230604096,Wired,,,,
phongvu_230701233,519628,230701233,"Bluetooth, Wireless",,,,
phongvu_230701234,519628,230701234,"Bluetooth, Wireless",,,,
phongvu_230800431,523431,230800431,,Mechanical,Green Switch,,
phongvu_230800432,523431,230800432,,Mechanical,Yellow Switch,,
phongvu_230800433,523433,230800433,,Mechanical,Green Switch,,
phongvu_230800434,523433,230800434,,Mechanical,Yellow Switch,,
phongvu_230901160,527659,230901160,Wireless,Mechanical,,,
phongvu_230903453,528779,230903453,"Bluetooth, Wireless",,,,
phongvu_230903454,528779,230903454,"Bluetooth, Wireless",,,,
phongvu_230903455,528779,230903455,"Bluetooth, Wireless",,,,
phongvu_230903458,528783,230903458,Wireless,Mechanical,,TKL,
phongvu_230903459,528783,230903459,Wireless,Mechanical,,TKL,
phongvu_231002801,531646,231002801,"Bluetooth, Wireless",,,,
phongvu_231002802,531646,231002802,"Bluetooth, Wireless",,,,
phongvu_231002823,531668,231002823,,Mechanical,,,RGB
phongvu_231004191,532962,231004191,"Wireless, Wired",,Red Switch,,LED
phongvu_231101830,534836,231101830,Wireless,Mechanical,Dream switch,,
phongvu_231101853,534860,231101853,,Mechanical,Red Switch,,
phongvu_231101854,534860,231101854,,Mechanical,Blue Switch,,
phongvu_231101855,534860,231101855,,Mechanical,Red Switch,,
phongvu_231101856,534860,231101856,,Mechanical,Blue Switch,,
phongvu_231101857,534862,231101857,,Mechanical,Blue Switch,,
phongvu_231101858,534862,231101858,,Mechanical,Red Switch,,
phongvu_231103018,535485,231103018,,,,,RGB
phongvu_231103025,535498,231103025,Wireless,,,,
phongvu_231103026,535498,231103026,Wireless,,,,
phongvu_231103028,535498,231103028,Wireless,,,,
phongvu_231103029,535498,231103029,Wireless,,,,
phongvu_231103030,535498,231103030,Wireless,,,,
phongvu_231103031,535498,231103031,Wireless,,,,
phongvu_240200110,544144,240200110,Wireless,Mechanical,Dream switch,,
phongvu_240201246,544994,240201246,Wireless,,Red Switch,,
phongvu_240201247,544994,240201247,Wireless,,Blue Switch,,
phongvu_240201248,544995,240201248,Wireless,,Snow Switch,,
phongvu_240201249,544995,240201249,Wireless,,Storm Switch,,
phongvu_240201250,544995,240201250,Wireless,,Storm Switch,,
phongvu_240201251,545327,240201251,Wireless,,Storm Switch,,
phongvu_240201252,544999,240201252,,,Storm Switch,,
phongvu_240300770,545853,240300770,,,,,
phongvu_240302591,547975,240302591,Wired,,,TKL,
phongvu_240303042,548291,240303042,,Mechanical,Akko switch,,RGB
phongvu_240502373,554173,240502373,"Bluetooth, Wireless",Mechanical,,,
phongvu_240502374,554173,240502374,"Bluetooth, Wireless",Mechanical,,,
phongvu_240502375,554173,240502375,"Bluetooth, Wireless",Mechanical,,,
phongvu_240504993,557178,240504993,,Mechanical,Dream switch,,LED
phongvu_240504994,557178,240504994,,Mechanical,Firefly switch,,LED
phongvu_240504996,557180,240504996,,Mechanical,Optical switch,,
phongvu_240602378,561028,240602378,,Mechanical,,,
phongvu_240602389,561028,240602389,,Mechanical,,,
phongvu_240603270,561832,240603270,Wireless,Mechanical,V3 Switch,,
phongvu_240603274,561832,240603274,Wireless,Mechanical,Agile Switch,,
phongvu_240603279,561832,240603279,Wireless,Mechanical,V3 Switch,,
phongvu_240603284,561832,240603284,Wireless,Mechanical,Reaper Switch,,
phongvu_240603288,561852,240603288,Wireless,Mechanical,,,
phongvu_240603293,561852,240603293,Wireless,Mechanical,,,
phongvu_240603297,561852,240603297,Wireless,Mechanical,,,
phongvu_240603298,561853,240603298,Wireless,Mechanical,Reaper switch,,
phongvu_240603302,561852,240603302,Wireless,Mechanical,,,
phongvu_240603303,561853,240603303,Wireless,Mechanical,vein switch,,
phongvu_240603307,561853,240603307,Wireless,Mechanical,Reaper switch,,
phongvu_240603308,561862,240603308,Wireless,Mechanical,,,
phongvu_240603313,561853,240603313,Wireless,Mechanical,V3 Switch,,
phongvu_240603314,561862,240603314,Wireless,Mechanical,,,
phongvu_240603319,561853,240603319,Wireless,Mechanical,V3 Switch,,
phongvu_240603325,561853,240603325,Wireless,Mechanical,V3 Switch,,
phongvu_240603328,561883,240603328,Wireless,Mechanical,Reaper Switch,,
phongvu_240703710,565856,240703710,,Mechanical,,,
phongvu_240703742,565888,240703742,,Mechanical,Optical Switch,,
phongvu_240704210,566356,240704210,,Mechanical,,,
phongvu_240704273,566423,240704273,,,,,
phongvu_240704389,566566,240704389,Wireless,,,,
phongvu_240704391,566562,240704391,,,,,
phongvu_240704405,566582,240704405,Wireless,,,TKL,
phongvu_240704407,566582,240704407,Wireless,,,TKL,
phongvu_240706054,568213,240706054,,Mechanical,Dream switch,,LED
phongvu_240803304,570735,240803304,Wireless,,,,
phongvu_240803305,570735,240803305,Wireless,,,,
phongvu_240803460,570874,240803460,,Mechanical,Switch V3,,RGB
phongvu_240803480,570894,240803480,,Mechanical,,,RGB
phongvu_240805945,573242,240805945,Wireless,,,,
phongvu_240805966,573263,240805966,Wireless,,,,
phongvu_240805967,573267,240805967,,Mechanical,Dream switch,,RGB
phongvu_240805970,573267,240805970,,Mechanical,Dream switch,,RGB
phongvu_240902581,575679,240902581,,Mechanical,,,RGB
phongvu_240908887,582020,240908887,,Mechanical,,,
phongvu_240908895,582030,240908895,Wired,,,,RGB
phongvu_240908901,582038,240908901,Wireless,,,TKL,RGB
phongvu_240908908,582038,240908908,Wireless,,,TKL,RGB
phongvu_240908921,582059,240908921,Wired,,,,
phongvu_240908928,582069,240908928,,,Blue Switch,,
phongvu_241002018,584592,241002018,,Mechanical,,,
phongvu_241002019,584590,241002019,,Membrane/Hybrid,,,
phongvu_241002398,585061,241002398,,Mechanical,Red Switch,,
phongvu_241002403,585060,241002403,Wireless,,Storm Switch,,
phongvu_241002407,585064,241002407,,Mechanical,Dream switch,,RGB
phongvu_241002408,585065,241002408,Wireless,Mechanical,Vector switch,,
phongvu_241002412,585060,241002412,Wireless,,Snow Switch,,
phongvu_241002414,585070,241002414,,Mechanical,Dream switch,,RGB
phongvu_241004148,586912,241004148,Wireless,,,,
phongvu_241004155,586912,241004155,Wireless,,,,
phongvu_241004161,586912,241004161,Wireless,,,,
phongvu_241004166,586912,241004166,Wireless,,,,
phongvu_241101258,589534,241101258,,Mechanical,Switch Blue,,LED
phongvu_241105103,592094,241105103,Wireless,Mechanical,Vector switch,,
phongvu_241105110,592094,241105110,Wireless,Mechanical,V3 switch,,
phongvu_241106182,593196,241106182,Wireless,,,,RGB
phongvu_241106206,593196,241106206,Wireless,,,,RGB
phongvu_241106421,593727,241106421,"Wireless, Wired",,Brown Switch,,LED
phongvu_241204512,596351,241204512,Wireless,Mechanical,V4 switch,,
phongvu_241204513,596357,241204513,Wireless,Mechanical,Vector switch,,
phongvu_241204514,596349,241204514,Wireless,Mechanical,Ramboo switch,,
phongvu_241204517,596354,241204517,Wireless,Mechanical,Reaper switch,,
phongvu_241204518,596352,241204518,Wireless,Mechanical,V4 switch,,
phongvu_241204520,596357,241204520,Wireless,Mechanical,Vector switch,,
phongvu_241204522,596358,241204522,Wireless,Mechanical,V3 switch,,
phongvu_241204526,596363,241204526,Wireless,Mechanical,Latte switch,,
phongvu_241205217,597059,241205217,Wired,,,TKL,
phongvu_241205225,597059,241205225,Wired,,,TKL,
phongvu_241205229,597059,241205229,Wired,,,TKL,
phongvu_250100117,599510,250100117,Wireless,Mechanical,Vector Switch,,
phongvu_250100118,599510,250100118,Wireless,Mechanical,Vector Switch,,
phongvu_250116321,615654,250116321,Wireless,Mechanical,,,
phongvu_250116322,615654,250116322,Wireless,Mechanical,,,
phongvu_250116323,615654,250116323,Wireless,Mechanical,,,
phongvu_250116387,615720,250116387,Wireless,Mechanical,Magnetic Switch,,
phongvu_250116618,615953,250116618,Wireless,Mechanical,V3 switch,,
phongvu_250116619,615953,250116619,Wireless,Mechanical,V3 switch,,
phongvu_250116620,615953,250116620,Wireless,Mechanical,V3 switch,,
phongvu_250116621,615953,250116621,Wireless,Mechanical,V3 switch,,
phongvu_250116622,615953,250116622,Wireless,Mechanical,V3 switch,,
phongvu_250200076,616581,250200076,,Mechanical,,,LED
phongvu_250200077,616556,250200077,,Mechanical,,,LED
phongvu_250203160,617782,250203160,Wireless,Mechanical,Yellow Switch,,
phongvu_250203167,617782,250203167,Wireless,Mechanical,Yellow Switch,,
phongvu_250203275,568225,250203275,,Mechanical,Dream switch,,RGB
phongvu_250203279,617898,250203279,,Mechanical,,,RGB
phongvu_250206341,619945,250206341,Wired,Mechanical,Red Switch,,
phongvu_250206342,619937,250206342,Wireless,Mechanical,Reaper Switch,,
phongvu_250206343,619943,250206343,,Mechanical,AKKO Switch,,RGB
phongvu_250206347,619945,250206347,Wired,Mechanical,Red Switch,,
phongvu_250300509,620476,250300509,,Mechanical,Dream switch,,RGB
phongvu_250300971,620848,250300971,,,,,
phongvu_250300972,620850,250300972,Wireless,Mechanical,Blue Switch,,
phongvu_250300973,620851,250300973,,Mechanical,Brown Switch,,
phongvu_250300977,620851,250300977,,Mechanical,Blue Switch,,
phongvu_250301449,621557,250301449,Wireless,Mechanical,Cloud switch,,
phongvu_250301450,621558,250301450,Wireless,,,,
phongvu_250301451,621561,250301451,Wireless,Mechanical,Cloud switch,,
phongvu_250301452,621563,250301452,Wireless,Mechanical,Cloud switch,,
phongvu_250301453,621564,250301453,Wireless,,,TKL,
phongvu_250301454,621557,250301454,Wireless,Mechanical,Cloud switch,,
phongvu_250301455,621566,250301455,,Mechanical,Dream switch,,
phongvu_250301456,621567,250301456,Wireless,Mechanical,Cloud switch,,
phongvu_250301528,621639,250301528,Wireless,Mechanical,,,LED
phongvu_250301529,621641,250301529,,Mechanical,,,
phongvu_250302272,622354,250302272,,Mechanical,Magnetic Switch,,
phongvu_250302318,622401,250302318,Wireless,Mechanical,Magnetic Switch,,
phongvu_250306237,626350,250306237,Wireless,Mechanical,Magnetic Switch,,
phongvu_250306238,626351,250306238,,Mechanical,Red Switch,,
phongvu_250400540,632492,250400540,Wireless,Mechanical,V3 switch,,
phongvu_250400541,632488,250400541,,Mechanical,Reaper switch,,
phongvu_250400542,632488,250400542,Wireless,Mechanical,Reaper switch,,
phongvu_250400543,632492,250400543,Wireless,Mechanical,Reaper switch,,
phongvu_250400545,632492,250400545,Wireless,Mechanical,V3 switch,,
phongvu_250406853,638843,250406853,,,,,
phongvu_250406858,638851,250406858,Wireless,,,TKL,
phongvu_250410571,642544,250410571,,,Green Switch,,
phongvu_250416611,648653,250416611,Wireless,Mechanical,,,
phongvu_250416612,648652,250416612,Bluetooth,,,,
phongvu_250416620,648668,250416620,"Bluetooth, Wireless",Mechanical,,,
phongvu_250416621,648665,250416621,Bluetooth,,,,
phongvu_250416622,648666,250416622,Bluetooth,,,,
phongvu_250416624,648653,250416624,Wireless,Mechanical,,,
phongvu_250416625,648668,250416625,"Bluetooth, Wireless",Mechanical,,,
phongvu_250503270,655074,250503270,,,,,
phongvu_250512186,666220,250512186,Wireless,Mechanical,Reaper switch,,
phongvu_250512187,666207,250512187,Wireless,,,,
phongvu_250512193,666221,250512193,Wireless,,,,
phongvu_250512195,666215,250512195,Wireless,Mechanical,Vector Switch,,
phongvu_250512200,666220,250512200,Wireless,Mechanical,V3 Switch,,
phongvu_250512201,666221,250512201,Wireless,,,,
phongvu_250512202,666229,250512202,Wireless,Mechanical,Volcano switch,,
phongvu_250512207,666227,250512207,,Mechanical,magnetic switch,,
phongvu_250512208,666228,250512208,Wireless,Mechanical,Red Switch,,RGB
phongvu_250512209,666229,250512209,Wireless,Mechanical,Nimbus switch,,
phongvu_250512213,666245,250512213,,Mechanical,Magnetic switch,,
