record_id,product_id,sku,name,brand,category,price_vnd,old_price_vnd,discount_amount_vnd,discount_percent,rating,review_count,url,source,crawl_date
phongvu_210601738.0,263846,210601738.0,Màn hình HP V19 9TN41AA 18.5 inch (HD/ TN/ 60Hz/ 5 ms),HP,monitor,2790000.0,2790000.0,0.0,0.0,,,,phongvu,2026-09-21
phongvu_210601996.0,644187,210601996.0,Màn hình LG 27MP400-B 27 inch (Full HD/ IPS/ 75Hz/ 5 ms),LG,monitor,2950000.0,3890000.0,940000.0,24.0,,,,phongvu,2026-09-21
phongvu_210602226.0,644154,210602226.0,Màn hình Dell S2421HN 23.8 inch (Full HD/ IPS/ 75Hz/ 4 ms),Dell,monitor,3390000.0,3890000.0,500000.0,13.0,,,,phongvu,2026-09-21
phongvu_210602227.0,272318,210602227.0,Màn hình Dell U2421E 24 inch (WUXGA/ IPS/ 60Hz/ 5 ms),Dell,monitor,8290000.0,8290000.0,0.0,0.0,,,,phongvu,2026-09-21
phongvu_210602229.0,644153,210602229.0,Màn hình Dell S2721HN 27 inch (Full HD/ IPS/ 75Hz/ 4 ms),Dell,monitor,3990000.0,4290000.0,300000.0,7.0,,,,phongvu,2026-09-21
phongvu_210602230.0,644155,210602230.0,Màn hình Dell S2721QS 27 inch (4K/ IPS/ 60Hz/ 4 ms),Dell,monitor,7690000.0,9090000.0,1400000.0,15.0,,,,phongvu,2026-09-21
phongvu_210602367.0,276635,210602367.0,Màn hình Samsung LC34G55TWWEXXV 34 inch (UltraWide/ VA/ 165Hz/ 1 ms),Samsung,monitor,7490000.0,8990000.0,1500000.0,17.0,,,,phongvu,2026-09-21
phongvu_210700008.0,296778,210700008.0,Màn hình Asus VG27AQGL1A 27 inch (2K/ IPS/ 170Hz/ 1 ms),Asus,monitor,12990000.0,12990000.0,0.0,0.0,,,,phongvu,2026-09-21
phongvu_210801069.0,644159,210801069.0,Màn hình ViewSonic VX2480-2K-SHD 23.8 inch (2K/ IPS/ 75Hz/ 4 ms),ViewSonic,monitor,5190000.0,5190000.0,0.0,0.0,,,,phongvu,2026-09-21
phongvu_210801070.0,365743,210801070.0,Màn hình ViewSonic VX2480-SHDJ 23.8 inch (Full HD/ IPS/ 75Hz/ 4 ms),ViewSonic,monitor,3450000.0,3890000.0,440000.0,11.0,,,,phongvu,2026-09-21
phongvu_210900501.0,376883,210900501.0,Màn hình Dell P3421W 34 inch (UltraWide/ IPS/ 60Hz/ 5 ms),Dell,monitor,14990000.0,14990000.0,0.0,0.0,,,,phongvu,2026-09-21
phongvu_210900504.0,376886,210900504.0,Màn hình Dell U3821DW 37.5 inch (WQHD+/ IPS/ 60Hz/ 5 ms),Dell,monitor,31490000.0,31490000.0,0.0,0.0,,,,phongvu,2026-09-21
phongvu_210900553.0,377253,210900553.0,Màn hình Dell C2422HE 23.8 inch (Full HD/ IPS/ 60Hz/ 5 ms),Dell,monitor,9290000.0,9290000.0,0.0,0.0,,,,phongvu,2026-09-21
phongvu_210900554.0,377254,210900554.0,Màn hình Dell C3422WE 34 inch (UltraWide/ IPS/ 60Hz/ 5 ms),Dell,monitor,22490000.0,22490000.0,0.0,0.0,,,,phongvu,2026-09-21
phongvu_210900560.0,377260,210900560.0,Màn hình Lenovo G27c-10 66A3GACBVN 27 inch (Full HD/ VA/ 165Hz/ 1 ms),Lenovo,monitor,4790000.0,5590000.0,800000.0,14.0,,,,phongvu,2026-09-21
phongvu_210900611.0,643809,210900611.0,Màn hình HP Zq G3 1C4Z7AA 27 inch (2K/ IPS/ 60Hz/ 5 ms),HP,monitor,9990000.0,9990000.0,0.0,0.0,,,,phongvu,2026-09-21
phongvu_211001503.0,388089,211001503.0,Màn hình Philips 243V5QHSBA/74 23.6 inch (Full HD/ MVA/ 60Hz/ 8 ms),Philips,monitor,3090000.0,3190000.0,100000.0,3.0,,,,phongvu,2026-09-21
phongvu_211002912.0,390025,211002912.0,Màn hình Asus ProArt PA247CV 23.8 inch (Full HD/ IPS/ 75Hz/ 5 ms),Asus,monitor,5690000.0,5690000.0,0.0,0.0,,,,phongvu,2026-09-21
phongvu_211101724.0,644156,211101724.0,Màn hình Dell S3221QS 31.5 inch (4K/ VA/ 60Hz/ 4 ms),Dell,monitor,14390000.0,14390000.0,0.0,0.0,,,,phongvu,2026-09-21
