product_id,sku,name,brand,category,price_vnd,old_price_vnd,discount_amount_vnd,discount_percent,rating,review_count,url,source,crawl_date
364621,,"Laptop Lenovo ThinkPad X1 Carbon Gen 13 - 21NS010JVN (Ultra 7 258V, 32GB, 1TB, 2.8K OLED 120Hz, Win11Pro)",Lenovo,laptop,70190000,,,,5.0,4,https://www.thegioididong.com/laptop/lenovo-thinkpad-x1-carbon-gen-13-ultra-7-258v-21ns010jvn,thegioididong,2026-09-21
364403,,"Laptop Asus Zenbook 14 UX3405CA - ST629W (Ultra 7 255H, 32GB, 512GB, 3K OLED 120Hz, Win11)",Asus,laptop,36990000,38690000,1700000,4,5.0,62,https://www.thegioididong.com/laptop/asus-zenbook-14-ux3405ca-ultra-7-255h-st629w,thegioididong,2026-09-21
363488,,Laptop MacBook Pro 14 inch M5 Pro 24GB/1TB 70W,MacBook,laptop,67490000,68990000,1500000,2,5.0,273,https://www.thegioididong.com/laptop/macbook-pro-14-inch-m5-pro-24gb-1tb,thegioididong,2026-09-21
371299,,"Laptop Asus Vivobook 16 X1607CA - MB399W (Ultra 7 255H, 16GB, 512GB, WUXGA, Win11)",Asus,laptop,28090000,36490000,8400000,23,,,https://www.thegioididong.com/laptop/asus-vivobook-16-x1607ca-ultra-7-255h-mb399w,thegioididong,2026-09-21
364416,,"Laptop Asus Vivobook S14 S3407CA - SF923W (Ultra 7 255H, 16GB, 512GB, WUXGA, Win11)",Asus,laptop,30290000,31990000,1700000,5,5.0,26,https://www.thegioididong.com/laptop/asus-vivobook-s14-s3407ca-ultra-7-255h-sf923w?utm_flashsale=1,thegioididong,2026-09-21
369469,,"Laptop Asus Vivobook S 16 S3607VA - RP155W (Core 5 210H, 16GB, 512GB, Full HD+ 144Hz, Win11)",Asus,laptop,28390000,34990000,6600000,18,,,https://www.thegioididong.com/laptop/asus-vivobook-s-16-s3607va-core-5-210h-rp155w,thegioididong,2026-09-21
364489,,"Laptop Asus TUF Gaming F16 FX608JMI - TU241W (i7 14650HX, 16GB, 512GB, RTX 5060 8GB, Full HD+ 144Hz, Win11)",Asus,laptop,43890000,44990000,1100000,2,5.0,2,https://www.thegioididong.com/laptop/asus-tuf-gaming-f16-fx608jmi-i7-14650hx-tu241w,thegioididong,2026-09-21
369984,,"Laptop MSI Cyborg 15 Black Edition A13VEO - 2608VN (i7 13620H, 16GB, 512GB, RTX 4050 6GB, Full HD 144Hz, Win11)",MSI,laptop,31990000,33990000,2000000,5,,,https://www.thegioididong.com/laptop/msi-cyborg-15-black-edition-a13veo-i7-13620h-2608vn,thegioididong,2026-09-21
364941,,"Laptop Asus Vivobook S14 M3407HA - SF480W (R5 220, 16GB, 512GB, WUXGA OLED, Win11)",Asus,laptop,24090000,25490000,1400000,5,5.0,66,https://www.thegioididong.com/laptop/asus-vivobook-s14-m3407ha-r5-220-sf480w,thegioididong,2026-09-21
367892,,"Laptop Asus Vivobook 14 X1404MA - EB219W (Core 5 320, 8GB, 512GB, Full HD, Win11)",Asus,laptop,21090000,26990000,5900000,21,5.0,6,https://www.thegioididong.com/laptop/asus-vivobook-14-x1404ma-core-5-320-eb219w,thegioididong,2026-09-21
371296,,"Laptop Asus TUF Gaming A15 FA506NCG - HN390W (R7 155, 16GB, 512GB, RTX 3050 4GB, Full HD 144Hz, Win11)",Asus,laptop,28890000,37490000,8600000,22,,,https://www.thegioididong.com/laptop/asus-tuf-gaming-a15-fa506ncg-r7-155-hn390w,thegioididong,2026-09-21
369746,,"Laptop Dell 14 DC14250 - DC14250-C3U085W11SLU-2Y (Core 3 100U, 8GB, 512GB, Full HD+, OfficeH24+365, Win11)",Dell,laptop,21890000,22590000,700000,3,,,https://www.thegioididong.com/laptop/dell-14-dc14250-core-3-100u-dc14250-c3u085w11slu-2y,thegioididong,2026-09-21
368147,,"Laptop Asus Vivobook 15 X1504MA - BQ385W (Core 5 320, 16GB, 512GB, Full HD, Win11)",Asus,laptop,25390000,31990000,6600000,20,5.0,3,https://www.thegioididong.com/laptop/asus-vivobook-15-x1504ma-core-5-320-bq385w,thegioididong,2026-09-21
367898,,"Laptop Asus Vivobook 15 X1504MA - BQ632W (Core 5 320, 8GB, 512GB, Full HD, Win11)",Asus,laptop,21090000,26990000,5900000,21,5.0,15,https://www.thegioididong.com/laptop/asus-vivobook-15-x1504ma-core-5-320-bq632w,thegioididong,2026-09-21
369755,,"Laptop Asus Gaming V16 V3607VJ Core 5 - TK189W (Core 5 210H, 16GB, 512GB, RTX 3050 6GB, WUXGA 144Hz, Win11)",Asus,laptop,27390000,36990000,9600000,25,,,https://www.thegioididong.com/laptop/asus-gaming-v16-v3607vj-core-5-core-5-210h-tk189w,thegioididong,2026-09-21
368302,,"Laptop Asus Vivobook Go 14 E1404FA - EB012W (R5 40, 8GB, 512GB, Full HD, Win11)",Asus,laptop,19890000,22990000,3100000,13,5.0,206,https://www.thegioididong.com/laptop/asus-vivobook-go-14-e1404fa-r5-40-eb012w,thegioididong,2026-09-21
