product_id,name,brand,price_vnd,old_price_vnd,discount_percent,rating,review_count,screen_size_inch,cpu,gpu,ram_gb,storage_gb,weight_kg,url,source,crawl_date
368655,"Laptop Acer Aspire Lite 16 AL16-71P-582Q - NX.DRSSV.001 (Ultra 5 125H, 16GB, 512GB, Full HD+ 120Hz, Win11)",Acer,26090000,26990000,-3,5.0,11,16.0,Intel Core Ultra 5 Meteor Lake - 125H,Card tích hợp - Intel Arc Graphics,16.0,512,1.6,https://www.thegioididong.com/laptop/acer-aspire-lite-16-al16-71p-582q-ultra-5-125h-nx-drssv-001,thegioididong,2026-09-21
360298,"Laptop Acer Gaming Nitro ProPanel AN16S 61 R193 - NH.QXTSV.001 (R9 AI 365, 16GB, 512GB, RTX 5070 8GB, 2K+ 180Hz, Win11)",Acer,61390000,61990000,-1,5.0,1,16.0,AMD Ryzen AI 9 - 365,"Card rời - NVIDIA GeForce RTX 5070, 8 GB",16.0,512,2.18,https://www.thegioididong.com/laptop/acer-gaming-nitro-16s-ai-propanel-an16s-61-r193-r9-ai-365-nh-qxtsv-001,thegioididong,2026-09-21
341607,"Laptop Acer Gaming Nitro ProPanel ANV15 52 72BM - NH.QZ9SV.004 (i7 13620H, 16GB, 512GB, RTX5050 8GB, Full HD 180Hz, Win11)",Acer,38390000,39990000,-4,5.0,105,15.6,Intel Core i7 Raptor Lake - 13620H,"Card rời - NVIDIA GeForce RTX 5050, 8 GB",16.0,512,2.1,https://www.thegioididong.com/laptop/acer-nitro-v-15-propanel-anv15-52-72bm-i7-13620h-nh-qz9sv-004,thegioididong,2026-09-21
342524,"Laptop Lenovo Gaming LOQ 15IRX9 - 83DV01ANVN (i5 13450HX, 16GB, 1TB, RTX 3050 6GB, Full HD 144Hz, Win11)",Lenovo,30690000,42990000,-28,4.9,911,15.6,Intel Core i5 Raptor Lake - 13450HX,"Card rời - NVIDIA GeForce RTX 3050, 6 GB",16.0,1024,2.38,https://www.thegioididong.com/laptop/lenovo-gaming-loq-15irx9-i5-83dv01anvn,thegioididong,2026-09-21
340561,"Laptop Dell 15 DC15250 - DC5I5357W1 (i5 1334U, 16GB, 512GB, Full HD 120Hz, OfficeH24+365, Win11)",Dell,22890000,24490000,-6,5.0,3774,15.6,Intel Core i5 Raptor Lake - 1334U,Card tích hợp - Intel UHD Graphics,16.0,512,1.65,https://www.thegioididong.com/laptop/dell-15-dc15250-i5-dc5i5357w1,thegioididong,2026-09-21
341624,"Laptop HP Gaming VICTUS 15 fb3115AX - BX9C9PA (R7 7445HS, 16GB, 512GB, RTX4050 6GB, Full HD 144Hz, Win11)",HP,31390000,34690000,-9,5.0,262,15.6,AMD Ryzen 7 - 7445HS,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",16.0,512,2.29,https://www.thegioididong.com/laptop/hp-victus-15-fb3115ax-r7-7445hs-bx9c9pa,thegioididong,2026-09-21
366086,"Laptop Acer Aspire Lite 15 AL15-46P-R73C - NX.JXMSV.001 (R3 5400U, 8GB, 512GB, Full HD, Win11)",Acer,16890000,17990000,-6,5.0,604,15.6,AMD Ryzen 3 - 5400U,Card tích hợp - AMD Radeon Graphics,8.0,512,1.45,https://www.thegioididong.com/laptop/acer-aspire-lite-15-al15-46p-r73c-r3-5400u-nx-jxmsv-001,thegioididong,2026-09-21
339682,"Laptop Dell Inspiron 14 5441 - 5MNK1 (X1P 64 100, 16GB, 512GB, Full HD+, OfficeH24+365, Win11)",Dell,26690000,33990000,-21,4.9,121,14.0,Snapdragon X Plus - X1P-64-100,Card tích hợp - Qualcomm Adreno GPU,16.0,512,1.53,https://www.thegioididong.com/laptop/dell-inspiron-14-5441-x1p-64-100-5mnk1,thegioididong,2026-09-21
337044,"Laptop HP Pavilion 16 af0055TU - AY8C4PA (Ultra 5 125U, 16GB, 512GB, WUXGA, OfficeHS+365, Win11)",HP,22790000,,,5.0,2325,16.0,Intel Core Ultra 5 Meteor Lake - 125U,Card tích hợp - Intel Graphics,16.0,512,1.7,https://www.thegioididong.com/laptop/hp-pavilion-16-af0055tu-ultra-5-ay8c4pa,thegioididong,2026-09-21
335554,"Laptop Lenovo Gaming LOQ 15IRX9 - 83DV003CVN (i5 13450HX, 16GB, 512GB, RTX 3050 6GB, Full HD 144Hz, Win11)",Lenovo,31190000,38990000,-20,5.0,2740,15.6,Intel Core i5 Raptor Lake - 13450HX,"Card rời - NVIDIA GeForce RTX 3050, 6 GB",16.0,512,2.38,https://www.thegioididong.com/laptop/lenovo-loq-15irx9-i5-83dv003cvn,thegioididong,2026-09-21
