product_id,cpu,ram_gb,storage_gb,gpu,screen_size_inch,weight_kg
337043,Intel Core Ultra 5 Meteor Lake - 125U,16,1024,Card tích hợp - Intel Graphics,16.0,1.77
364401,Intel Core Ultra 5 Arrow Lake - 255H,16,512,Card tích hợp - Intel Arc Graphics,14.0,1.2
341610,Intel Core i7 Raptor Lake - 14650HX,16,512,"Card rời - NVIDIA GeForce RTX 5060, 8 GB",15.6,2.4
336031,Intel Core Ultra 9 Arrow Lake - 285H,32,1024,Card tích hợp - Intel Arc Graphics,14.0,1.28
337843,Intel Core i5 Raptor Lake - 13420H,16,512,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",16.0,2.2
358074,Intel Core Ultra 7 Arrow Lake - 255U,32,512,Card tích hợp - Intel Graphics,16.0,1.77
345510,Intel Core i5 Raptor Lake - 13420H,16,512,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",15.6,2.29
358498,Intel Core i5 Raptor Lake - 1334U,16,512,Card tích hợp - Intel UHD Graphics,15.6,1.65
362666,Intel Core i5 Raptor Lake - 1334U,16,512,Card tích hợp - Intel UHD Graphics,15.6,1.9
365998,Intel Core i5 Raptor Lake - 1334U,16,512,Card tích hợp - Intel UHD Graphics,15.6,1.65
318354,Intel Core i5 Raptor Lake - 13420H,8,512,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",15.6,2.1
340006,AMD Ryzen AI 7 - 260,16,512,Card tích hợp - AMD Radeon Graphics,15.6,1.9
357992,AMD Ryzen 7 - 7730U,16,1024,Card tích hợp - AMD Radeon Graphics,15.6,1.9
364860,Intel Core i7 Raptor Lake - 1355U,16,512,Card tích hợp - Intel UHD Graphics,15.6,1.65
363882,AMD Ryzen AI 7 - 445,32,512,Card tích hợp - AMD Radeon 840M Graphics,14.0,1.37
363262,Intel Core 7 Raptor Lake - 150U,16,512,Card tích hợp - Intel UHD Graphics,15.6,1.53
358796,Intel Core Ultra 7 Meteor Lake - 155H,16,512,Card tích hợp - Intel Arc Graphics,14.0,1.4
366909,Intel Core i5 Raptor Lake - 13420H,16,512,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",15.6,1.98
363259,Intel Core i7 Raptor Lake - 13620H,16,512,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",16.0,1.95
334796,Intel Core Ultra 5 Arrow Lake - 225H,16,512,Card tích hợp - Intel Arc Graphics,14.0,1.28
364967,Intel Core 7 Raptor Lake - 150U,16,512,"Card rời - NVIDIA Geforce MX570A, 2 GB",14.0,1.643
365607,Intel Core 5 Raptor Lake - 120U,8,512,Card tích hợp - Intel Graphics,14.0,1.406
369481,Intel Core 3 Raptor Lake - 100U,8,512,Card tích hợp - Intel Graphics,15.6,1.637
360419,Intel Core 5 Raptor Lake - 120U,16,512,Card tích hợp - Intel Graphics,15.6,1.7
362922,Intel Core i7 Raptor Lake - 13620H,16,1024,"Card rời - NVIDIA GeForce RTX 5060, 8 GB",15.6,2.1
365535,Intel Core Ultra 5 Meteor Lake - 135H,16,512,Card tích hợp - Intel Arc Graphics,14.0,1.34
364405,Intel Core Ultra 9 Arrow Lake - 285H,32,1024,Card tích hợp - Intel Arc Graphics,14.0,1.2
342754,Intel Core i5 Raptor Lake - 1334U,16,512,Card tích hợp - Intel UHD Graphics,15.6,1.9
366702,AMD Ryzen 5 - 220,16,512,Card tích hợp - AMD Radeon Graphics,16.0,1.785
358120,AMD Ryzen AI 5 - 340,16,512,Card tích hợp - AMD Radeon 840M Graphics,16.0,1.79
358088,Apple M5,16,1024,Card tích hợp - 10 nhân GPU,14.2,1.55
340558,Intel Core i5 Raptor Lake - 1334U,16,512,Card tích hợp - Intel Iris Xe Graphics,15.6,1.66
360296,AMD Ryzen AI 7 - 260,16,1024,"Card rời - NVIDIA GeForce RTX 5050, 8 GB",16.0,2.1
359927,Intel Core i7 Raptor Lake - 13620H,16,512,"Card rời - NVIDIA GeForce RTX 5050, 8 GB",16.0,2.23
358075,AMD Ryzen AI 5 - 340,16,512,Card tích hợp - AMD Radeon 840M,14.0,1.39
342513,Intel Core 7 Raptor Lake - 240H,32,1024,Card tích hợp - Intel Graphics,14.0,1.36
358499,Intel Core i7 Raptor Lake - 1355U,16,512,Card tích hợp - Intel UHD Graphics,15.6,1.65
338316,Intel Core i5 Raptor Lake - 1334U,16,512,Card tích hợp - Intel Iris Xe Graphics,15.6,1.66
360693,Intel Core 7 Raptor Lake - 240H,16,1024,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",16.0,2.49
360421,Intel Core 5 Raptor Lake - 210H,16,512,"Card rời - NVIDIA GeForce RTX 3050, 6 GB",16.0,1.95
344606,Intel Core i7 Raptor Lake - 13650HX,16,512,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",15.6,2.38
341613,Intel Core i7 Raptor Lake - 14650HX,32,512,"Card rời - NVIDIA GeForce RTX 5050, 8 GB",15.6,2.4
341609,Intel Core i7 Raptor Lake - 14650HX,32,512,"Card rời - NVIDIA GeForce RTX 5060, 8 GB",15.6,2.4
363901,Intel Core i5 Raptor Lake - 13420H,16,512,Card tích hợp - Intel UHD Graphics,16.0,1.7
339681,Intel Core i5 Raptor Lake - 1334U,16,512,Card tích hợp - Intel Iris Xe Graphics,15.6,1.65
358079,AMD Ryzen 5 - 7430U,16,512,Card tích hợp - AMD Radeon Graphics,15.6,1.65
330579,Intel Core Ultra 7 Lunar Lake - 258V,32,1024,Card tích hợp - Intel Arc Graphics,14.0,1.2
363897,Intel Core Ultra 5 Meteor Lake - 135H,16,512,Card tích hợp - Intel Graphics,14.0,1.36
361726,Intel Core 5 Raptor Lake - 210H,16,512,Card tích hợp - Intel UHD XE,14.0,1.41
357991,Intel Core i7 Raptor Lake - 1355U,16,1024,Card tích hợp - Intel UHD Graphics,15.6,1.65
358076,Intel Core Ultra 7 Meteor Lake - 258V,32,512,Card tích hợp - Intel Arc 140V,14.0,1.38
360694,Intel Core 7 Raptor Lake - 150U,16,1024,Card tích hợp - Intel Graphics,16.0,2.0
341752,Intel Core i7 Raptor Lake - 13620H,16,512,"Card rời - NVIDIA GeForce RTX 5060, 8 GB",16.0,2.233
361536,Intel Core 7 Raptor Lake - 150U,16,512,Card tích hợp - Intel Graphics,14.0,1.83
359482,Intel Core i5 Raptor Lake - 13420H,16,512,Card tích hợp - Intel UHD Graphics,14.0,1.37
339201,Intel Core i7 Raptor Lake - 13620H,16,512,"Card rời - NVIDIA GeForce RTX 3050, 6 GB",16.0,1.95
338321,Intel Core Ultra 7 Arrow Lake - 255H,16,512,Card tích hợp - Intel UHD Graphics,14.0,1.4
366703,AMD Ryzen AI 5 - 340,16,512,Card tích hợp - AMD Radeon 840M Graphics,13.3,0.99
311177,Intel Core i7 Raptor Lake - 1355U,16,512,Card tích hợp - Intel Iris Xe Graphics,15.6,1.69
341563,Intel Core 5 Raptor Lake - 210H,16,512,"Card rời - NVIDIA GeForce RTX 3050, 6 GB",16.0,2.49
367378,Intel Core Ultra X7 - 358H,32,1024,Card tích hợp - Intel Arc Graphics,14.0,1.12
322099,Intel Core Ultra 7 Meteor Lake - 155H,16,512,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",15.6,1.98
357988,Intel Core 7 Raptor Lake - 150U,16,1024,"Card rời - NVIDIA Geforce MX570A, 2 GB",14.0,1.63
335020,Intel Core Ultra 7 Lunar Lake - 258V,32,1024,Card tích hợp - Intel Arc 140V,14.1,1.6
337472,Intel Core i7 Raptor Lake - 1355U,16,512,Card tích hợp - Intel Iris Xe Graphics,15.6,1.66
341621,Intel Core 7 Raptor Lake - 150U,16,1024,Card tích hợp - Intel Graphics,15.6,1.65
361538,Intel Core Ultra 7 Lunar Lake - 256V,16,1024,Card tích hợp - Intel Arc Graphics,16.0,1.815
364181,AMD Ryzen 7 - 170,16,512,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",16.0,2.2
364414,AMD Ryzen AI 5 - 330,16,512,Card tích hợp - AMD Radeon Graphics,14.0,1.46
357987,Intel Core 5 Raptor Lake - 120U,16,1024,Card tích hợp - Intel Graphics,14.0,1.63
362625,AMD Ryzen AI 7 - 445,16,512,Card tích hợp - AMD Radeon 840M Graphics,14.0,1.2
325244,Intel Core 7 Raptor Lake - 150U,16,512,Card tích hợp - Intel Graphics,14.0,1.67
369845,Intel Core Ultra 5 Meteor Lake - 225U,16,512,Card tích hợp - Intel Graphics,14.0,1.41
359471,Intel Core i5 Raptor Lake - 13420H,16,512,Card tích hợp - Intel UHD Graphics,15.6,1.61
364979,Intel Core 7 Raptor Lake - 240H,16,512,"Card rời - NVIDIA GeForce RTX 3050, 6 GB",15.6,2.07
365613,Intel Core 7 Raptor Lake - 150U,16,512,Card tích hợp - Intel Graphics,14.0,1.406
367683,Intel Core Ultra 7 Panther Lake - 355,16,512,Card tích hợp - Intel Graphics,16.0,1.73
365625,Intel Core 5 Raptor Lake - 120U,16,512,Card tích hợp - Intel Graphics,14.0,1.4
365616,AMD Ryzen AI 7 - 350,16,512,Card tích hợp - AMD Radeon 860M Graphics,14.0,1.531
341565,Intel Core 7 Raptor Lake - 240H,16,1024,"Card rời - NVIDIA GeForce RTX 5060, 8 GB",16.0,2.49
358381,Intel Core i7 Raptor Lake - 13650HX,16,512,"Card rời - NVIDIA GeForce RTX 5050, 8 GB",15.3,2.1
366166,AMD Ryzen 7 - 7735HS,16,512,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",15.6,1.8
366167,Intel Core i7 Raptor Lake - 13645HX,16,512,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",15.6,2.38
334800,Snapdragon X - X1 26 100,16,512,Card tích hợp - Qualcomm Adreno GPU,14.0,0.98
358119,Intel Core Ultra 7 Arrow Lake - 255H,32,512,Card tích hợp - Intel Arc 140T,14.0,1.41
364942,Intel Core Ultra 7 Arrow Lake - 255H,16,512,Card tích hợp - Intel Graphics,16.0,1.88
342469,Intel Core i7 Raptor Lake - 1355U,16,512,Card tích hợp - Intel Iris Xe Graphics,15.6,1.66
366165,Intel Core Ultra 7 Panther Lake - 355,16,512,Card tích hợp - Intel Graphics,15.3,1.63
358072,Intel Core Ultra 7 Arrow Lake - 255U,32,512,Card tích hợp - Intel Graphics,16.0,1.77
362409,Intel Core Ultra 5 Lunar Lake - 226V,16,512,Card tích hợp - Intel Arc Graphics,14.0,1.57
365614,AMD Ryzen AI 5 - 340,16,512,Card tích hợp - AMD Radeon 840M Graphics,14.0,1.528
342521,Intel Core i7 Raptor Lake - 13650HX,16,512,"Card rời - NVIDIA GeForce RTX 5060, 8 GB",15.3,2.1
367017,Intel Core Ultra 7 Panther Lake - 355,16,512,Card tích hợp - Intel Graphics,15.3,1.63
332579,AMD Ryzen 5 - 8645HS,16,512,"Card rời - NVIDIA GeForce RTX 3050, 6 GB",16.0,2.5
364622,Intel Core Ultra 7 Lunar Lake - 258V,32,1024,Card tích hợp - Intel Arc Graphics 140V,14.0,0.986
337041,Intel Core Ultra 7 Meteor Lake - 155U,16,1024,Card tích hợp - Intel Graphics,16.0,1.77
326049,AMD Ryzen 5 - 7530U,8,512,Card tích hợp - AMD Radeon Graphics,14.0,1.36
338312,Intel Core 5 Raptor Lake - 120U,16,512,Card tích hợp - Intel Iris Xe Graphics,14.0,1.67
364415,Intel Core Ultra 5 Arrow Lake - 225H,16,512,Card tích hợp - Intel Graphics,14.0,1.4
363902,Intel Core i5 Raptor Lake - 13420H,8,512,Card tích hợp - Intel UHD Graphics,15.6,1.61
361729,Snapdragon X - X1 26 100,16,512,Card tích hợp - Qualcomm Adreno GPU,14.0,1.46
362624,AMD Ryzen AI 7 - 445,16,512,Card tích hợp - AMD Radeon Graphics,14.0,1.4
359302,AMD Ryzen AI 9 - HX 370,32,1024,"Card rời - NVIDIA GeForce RTX 5060, 8 GB",16.0,2.1
341269,Intel Core Ultra 7 Lunar Lake - 258V,32,1024,Card tích hợp - Intel Arc 140V,14.0,1.327
363900,Intel Core Ultra 7 Lunar Lake - 258V,32,512,Card tích hợp - Intel Arc 140V,14.0,1.32
358798,AMD Ryzen AI 7 - 350,16,512,Card tích hợp - AMD Radeon 860M Graphics,16.0,1.79
325247,Intel Core i7 Raptor Lake - 1355U,16,1024,Card tích hợp - Intel Iris Xe Graphics,15.6,1.65
342749,Intel Core i7 Raptor Lake - 13620H,16,512,Card tích hợp - Intel UHD Graphics,14.0,1.4
367377,Intel Core 5 Raptor Lake - 120U,8,512,Card tích hợp - Intel UHD Graphics,15.6,1.6
359299,Intel Core i9 Raptor Lake - 14900HX,16,512,"Card rời - NVIDIA GeForce RTX 5060, 8 GB",15.6,2.4
342721,Intel Core i9 Raptor Lake - 14900HX,32,512,"Card rời - NVIDIA GeForce RTX 5070, 8 GB",16.0,2.43
361730,Snapdragon X - X1 26 100,32,512,Card tích hợp - Qualcomm Adreno GPU,14.0,1.46
358794,Intel Core 5 Raptor Lake - 210H,24,512,Card tích hợp - Intel Graphics,16.0,1.91
368218,AMD Ryzen 7 - 250,16,512,Card tích hợp - AMD Radeon 780M Graphics,14.0,1.36
369747,Intel Core 7 - 150U,16,1024,Card tích hợp - Intel Graphics,14.0,1.69
345508,Intel Core Ultra 7 Arrow Lake - 255U,16,512,Card tích hợp - Intel Graphics,13.3,1.355
345500,Intel Core Ultra 5 Arrow Lake - 225U,16,512,Card tích hợp - Intel Graphics,16.0,1.819
368217,Intel Core Ultra 5 Panther Lake - 322,16,512,Card tích hợp - Intel Graphics,14.0,1.38
325953,Intel Core 7 Raptor Lake - 150U,16,1024,Card tích hợp - Intel Graphics,14.0,1.56
362023,Intel Core 7 Raptor Lake - 150U,16,1024,"Card rời - NVIDIA Geforce MX570A, 2 GB",16.0,2.14
367012,Intel Core Ultra 5 Panther Lake - 322,16,512,Card tích hợp - Intel Graphics,14.0,1.54
368223,AMD Ryzen AI 7 - 350,32,1024,Card tích hợp - AMD Radeon 860M Graphics,14.0,1.39
340559,Intel Core i7 Raptor Lake - 1355U,16,1024,Card tích hợp - Intel Iris Xe Graphics,15.6,1.66
337471,Intel Core i5 Raptor Lake - 1334U,16,512,Card tích hợp - Intel Iris Xe Graphics,15.6,1.66
365312,Intel Core 7 Raptor Lake - 150U,16,1024,Card tích hợp - Intel Graphics,16.0,2.0
337042,Intel Core Ultra 7 Meteor Lake - 155U,16,512,Card tích hợp - Intel Graphics,16.0,1.7
369450,Intel Core Ultra 5 Arrow Lake - 225H,16,512,Card tích hợp - Intel Graphics,16.0,1.88
367374,AMD Ryzen 3 - 5400U,8,512,Card tích hợp - AMD Radeon Graphics,14.0,1.3
341573,AMD Ryzen AI 9 - HX 370,32,2048,"Card rời - NVIDIA GeForce RTX 5070, 8 GB",16.0,2.1
363896,Intel Core Ultra 5 Lunar Lake - 226V,16,1024,Card tích hợp - Intel Arc Graphics 130V,14.0,0.986
370357,Intel Core Ultra 7 Arrow Lake - 355,32,1024,Card tích hợp - Integrated Graphics,14.0,0.975
331522,Intel Core Ultra 5 Meteor Lake - 135U,16,512,Card tích hợp - Intel Graphics,13.3,1.4
368213,Intel Core Ultra 7 Panther Lake - 355,16,512,Card tích hợp - Intel Graphics,14.0,1.37
368225,Intel Core i5 Raptor Lake - 14450HX,16,512,"Card rời - NVIDIA GeForce RTX 5060, 8 GB",15.3,2.363
367019,Intel Core Ultra 7 Panther Lake - 355,32,1024,Card tích hợp - Intel Graphics,14.0,1.14
358081,Intel Core 9 Raptor Lake - 270H,32,512,Card tích hợp - Intel Graphics,16.0,1.9
339558,AMD Ryzen AI 9 - HX PRO 375,32,1024,Card tích hợp - AMD Radeon 890M Graphics,14.0,1.49
327098,AMD Ryzen 5 - 7430U,16,512,Card tích hợp - AMD Radeon Graphics,15.6,1.59
368224,Intel Core i5 Raptor Lake - 14450HX,16,512,"Card rời - NVIDIA GeForce RTX 5050, 8 GB",15.3,2.37
337040,Snapdragon X Elite - X1E 78 100,32,1024,Card tích hợp - Qualcomm Adreno GPU,14.0,1.326
367685,Intel Core Ultra 7 Panther Lake - 355,16,512,Card tích hợp - Intel Graphics,14.0,1.43
364621,Intel Core Ultra 7 Lunar Lake - 258V,32,1024,Card tích hợp - Intel Arc 140V,14.0,0.986
364403,Intel Core Ultra 7 Arrow Lake - 255H,32,512,Card tích hợp - Intel Arc Graphics,14.0,1.2
363488,Apple M5 Pro,24,1024,Card tích hợp - 16 nhân GPU,14.2,1.6
371299,Intel Core Ultra 7 Arrow Lake - 225H,16,512,Card tích hợp - Intel Graphics,16.0,1.88
364416,Intel Core Ultra 7 Arrow Lake - 255H,16,512,Card tích hợp - Intel Graphics,14.0,1.4
369469,Intel Core 5 Raptor Lake - 210H,16,512,Card tích hợp - Intel UHD Graphics,16.0,1.7
364489,Intel Core i7 Raptor Lake - 14650HX,16,512,"Card rời - NVIDIA GeForce RTX 5060, 8 GB",16.0,2.2
369984,Intel Core i7 Raptor Lake - 13620H,16,512,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",15.6,
364941,AMD Ryzen 5 - 220,16,512,Card tích hợp - AMD Radeon Graphics,14.0,1.339
367892,Intel Core 5 Wildcat Lake - 320,8,512,Card tích hợp - Intel Graphics,14.0,1.409
371296,AMD Ryzen 7 - 155,16,512,"Card rời - NVIDIA GeForce RTX 3050, 4 GB",15.6,2.3
369746,Intel Core 3 - 100U,8,512,Card tích hợp - Intel Graphics,14.0,1.69
368147,Intel Core 5 Wildcat Lake - 320,16,512,Card tích hợp - Intel Graphics,15.6,1.52
367898,Intel Core 5 Wildcat Lake - 320,8,512,Card tích hợp - Intel Graphics,15.6,1.637
369755,Intel Core 5 Raptor Lake - 210H,16,512,"Card rời - NVIDIA GeForce RTX 3050, 6 GB",16.0,1.95
368302,AMD Ryzen 5 - 40,8,512,Card tích hợp - AMD Radeon Graphics,14.0,1.38
370862,AMD Ryzen 5 - 3500U,8,512,Card tích hợp - AMD Radeon Vega Mobile Graphics,15.6,1.5
371300,AMD Ryzen 7 - 155,8,512,"Card rời - NVIDIA GeForce RTX 3050, 4 GB",15.6,2.3
365309,Intel Core 7 Raptor Lake - 150U,16,1024,Card tích hợp - Intel Graphics,14.0,1.69
369463,Intel Core Ultra 7 Lunar Lake - 258V,32,512,Intel Arc 140V,14.0,1.2
368300,Intel Core 7 Raptor Lake - 240H,16,512,Card tích hợp - Intel Graphics,14.0,1.4
367899,Intel Core 7 Wildcat Lake - 350,8,512,Card tích hợp - Intel Graphics,15.6,1.637
351616,AMD Ryzen AI 5 - 330,16,512,Card tích hợp - AMD Radeon Graphics,14.0,1.4
369748,Intel Core 3 Raptor Lake - 100U,8,512,Intel Graphics,15.6,1.65
371075,Intel Core 5 Raptor Lake - 210H,16,512,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",16.0,1.95
369985,Intel Core i5 Raptor Lake - 13420H,16,512,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",15.6,
369449,Intel Core 5 Wildcat Lake - 320,16,512,,14.0,1.4
368148,Intel Core 7 Wildcat Lake - 350,16,512,Card tích hợp - Intel Graphics,15.6,1.52
368658,AMD Ryzen 7 - 7730U,16,512,Card tích hợp - AMD Radeon Graphics,15.6,1.49
364409,AMD Ryzen 9 - 8940HX,16,512,"Card rời - NVIDIA GeForce RTX 5050, 8 GB",16.0,2.5
366826,Intel Core Ultra 5 Panther Lake - 325,16,512,Card tích hợp - Intel Graphics,14.0,1.46
358371,Intel Core i7 Raptor Lake - 13650HX,16,512,"Card rời - NVIDIA GeForce RTX 5050, 8 GB",15.6,2.4
369464,Intel Core Ultra 5 Lunar Lake - 226V,16,512,Card tích hợp - Intel Arc Graphics 130V,14.0,1.2
369213,Intel Core i7 Raptor Lake - 13620H,16,512,"Card rời - Intel UHD Graphics (tích hợp) + NVIDIA GeForce RTX 5050 GPU, 8GB - GDDR7",15.6,1.98
368219,Intel Core 7 Raptor Lake - 240H,16,512,Card tích hợp - Intel Graphics,14.0,1.37
368149,AMD Ryzen 9 - 8940HX,16,512,"Card rời - NVIDIA GeForce RTX 5060, 8 GB",16.0,2.288
365113,Intel Core i7 Raptor Lake - 14650HX,16,512,"Card rời - NVIDIA GeForce RTX 5050, 8 GB",16.0,2.2
362022,Intel Core Ultra 5 Lunar Lake - 226V,16,1024,Card tích hợp - Intel Arc Graphics 130V,16.0,1.87
345504,Intel Core Ultra 7 Arrow Lake - 255H,16,512,Card tích hợp - Intel Graphics,16.0,1.853
369467,Intel Core Ultra 5 Arrow Lake - 225H,16,512,Card tích hợp - Intel Graphics,14.0,1.34
367863,AMD Ryzen 7 - 260,16,512,"Card rời - NVIDIA GeForce RTX 5060, 8 GB",16.0,2.191
367862,AMD Ryzen 7 - 260,16,512,"Card rời - NVIDIA GeForce RTX 5050, 8 GB",16.0,2.191
367682,Intel Core Ultra 5 Panther Lake - 322,24,512,Card tích hợp - Intel Graphics,16.0,1.73
365307,Intel Core 5 Raptor Lake - 120U,16,1024,Card tích hợp - Intel Graphics,16.0,1.98
365302,AMD Ryzen AI 7 - 350,16,1024,Card tích hợp - AMD Radeon Graphics,14.0,1.69
364490,AMD Ryzen 7 - 260,16,512,"Card rời - NVIDIA GeForce RTX 5060, 8 GB",16.0,2.2
370280,Intel Core 7 Raptor Lake - 240H,16,512,"Card rời - NVIDIA GeForce RTX 5050, 8 GB",15.6,2.1
370863,AMD Ryzen 5 - 3500U,8,512,Card tích hợp - AMD Radeon Vega Mobile Graphics,14.0,1.3
367864,AMD Ryzen AI 7 - 350,16,1024,"Card rời - NVIDIA GeForce RTX 5060, 8 GB",16.0,1.972
369461,Intel Core Ultra X7 Panther Lake - 358H,32,1024,Card tích hợp - Intel Arc Graphics,14.0,1.1
368651,Intel Core 5 Raptor Lake - 210H,16,512,"Card rời - NVIDIA GeForce RTX 5050, 8 GB",16.0,2.1
368216,Intel Core Ultra 7 Panther Lake - 355,32,1024,Card tích hợp - Intel Graphics,14.0,1.4
368212,Intel Core Ultra 7 Lunar Lake - 258V,32,512,Card tích hợp - Intel Arc Graphics 140V,14.0,1.21
368150,AMD Ryzen 9 - 8940HX,16,512,"Card rời - NVIDIA GeForce RTX 5070Ti, 12 GB",16.0,2.34
367348,Intel Core Ultra 7 Arrow Lake - 255U,32,512,Card tích hợp - Intel Graphics,14.0,1.69
367015,Intel Core Ultra 7 Panther Lake - 365H,16,512,"Card rời - NVIDIA GeForce RTX 5060, 8 GB",15.3,1.87
366827,Intel Core Ultra 5 Panther Lake - Đang cập nhật,16,512,Card tích hợp - Intel Graphics,14.0,1.4
363503,Apple M5,24,512,Card tích hợp - 10 nhân GPU,13.6,1.23
364488,AMD Ryzen 9 - 8940HX,16,512,"Card rời - NVIDIA GeForce RTX 5070, 8 GB",16.0,2.2
364389,AMD Ryzen AI Max+ - 395,128,1024,Card tích hợp - AMD Radeon 8060S Graphics,13.4,1.72
363899,Intel Core Ultra 7 Lunar Lake - 256V,16,512,Card tích hợp - Intel Arc 140V,14.0,0.986
361539,Intel Core Ultra 9 Lunar Lake - 288V,32,2048,Card tích hợp - Intel Arc Graphics,16.0,1.815
371301,AMD Ryzen 5 - 7533HS,16,512,"Card rời - NVIDIA GeForce RTX 3050, 6 GB",16.0,
365617,AMD Ryzen AI 7 - 350,16,512,Card tích hợp - AMD Radeon 860M Graphics,14.0,1.549
364408,AMD Ryzen AI 9 - 465,32,1024,"Card rời - NVIDIA GeForce RTX 5060, 8 GB",14.0,1.46
365619,AMD Ryzen AI 5 Pro - 340,32,512,Card tích hợp - AMD Radeon 840M Graphics,14.0,1.39
365615,AMD Ryzen AI 5 - 340,16,512,Card tích hợp - AMD Radeon 840M Graphics,14.0,1.528
364868,Intel Core Ultra 9 Panther Lake - 386H,32,1024,Card tích hợp - Intel Graphics,14.0,1.37
