product_id,sku,cpu,ram_gb,storage_gb,gpu,screen_size_inch,weight_kg
883333,260701777,,16.0,512.0,,,
885287,260703453,,16.0,512.0,,,
885297,260703460,,16.0,512.0,,,
885304,260703468,,32.0,1024.0,,,
886573,260704564,,16.0,512.0,,,
886584,260704571,,16.0,512.0,,,
886591,260704577,,8.0,512.0,,,
886598,260704585,,16.0,512.0,,,
886602,260704589,,16.0,512.0,,,
886606,260704593,,16.0,1024.0,,,
886610,260704596,,16.0,512.0,,,
886612,260704599,,16.0,1024.0,,,
886614,260704600,,16.0,512.0,,,
887685,260705543,,16.0,512.0,,,
888140,260705959,,64.0,1024.0,,,
888149,260705966,,16.0,1024.0,,,
888156,260705974,,16.0,512.0,,,
888165,260705985,,16.0,512.0,,,
888175,260705993,,16.0,512.0,,,
888183,260706001,,16.0,512.0,,,
888191,260706009,,16.0,512.0,,,
888199,260706016,,16.0,512.0,,,
888206,260706024,,16.0,512.0,,,
888212,260706029,,16.0,512.0,,,
888213,260706030,,64.0,1024.0,,,
888214,260706031,,16.0,512.0,,,
890602,260801469,,12.0,512.0,,,
890611,260801476,,64.0,2048.0,,,
890625,260801494,,16.0,512.0,,,
890638,260801499,,16.0,512.0,,,
890642,260801505,,16.0,512.0,,,
890645,260801507,,16.0,512.0,,,
890651,260801512,,16.0,1024.0,,,
890653,260801516,,64.0,2048.0,,,
890658,260801521,,32.0,1024.0,,,
890668,260801531,,16.0,512.0,,,
890676,260801536,,12.0,512.0,,,
890706,260801559,,12.0,512.0,,,
890763,260801615,,16.0,512.0,,,
891731,260802535,,,,,,
891732,260802536,,,,,,
891783,260802587,,,,,,
891789,260802593,,,,,,
891795,260802599,,,,,,
891796,260802600,,,,,,
891802,260802606,,,,,,
891809,260802613,,,,,,
891811,260802615,,,,,,
891819,260802623,,,,,,
891823,260802627,,,,,,
891824,260802628,,,,,,
891825,260802629,,,,,,
891830,260802634,,,,,,
891832,260802636,,,,,,
891835,260802639,,,,,,
891849,260802653,,,,,,
891858,260802662,,,,,,
891859,260802663,,,,,,
891884,260802688,,,,,,
891886,260802690,,,,,,
891887,260802691,,,,,,
891888,260802692,,,,,,
891949,260802752,,,,,,
892704,260803513,,16.0,512.0,,,
892716,260803520,,16.0,512.0,,,
892723,260803528,,16.0,512.0,,,
892732,260803539,,16.0,512.0,,,
892743,260803546,,8.0,512.0,,,
892750,260803553,,8.0,512.0,,,
892758,260803562,,16.0,512.0,,,
892767,260803571,,32.0,1024.0,,,
892770,260803572,,16.0,512.0,,,
892776,260803578,,64.0,3072.0,,,
892777,260803581,,16.0,512.0,,,
892787,260803589,,8.0,512.0,,,
892791,260803593,,16.0,512.0,,,
894418,260805116,,32.0,1024.0,,,
894419,260805117,,32.0,1024.0,,,
894698,260805394,,16.0,512.0,,,
894697,260805395,,16.0,512.0,,,
894699,260805396,,16.0,512.0,,,
895197,260805895,,16.0,512.0,,,
895204,260805903,,8.0,512.0,,,
896920,260901533,,16.0,512.0,,,
896921,260901534,,8.0,512.0,,,
896923,260901535,,32.0,512.0,,,
896922,260901536,,16.0,512.0,,,
896986,260901602,,32.0,2048.0,,,
896996,260901609,,8.0,256.0,,,
897011,260901626,,32.0,512.0,,,
897021,260901635,,16.0,1024.0,,,
897031,260901644,,16.0,1024.0,,,
897115,260901725,,16.0,512.0,,,
897123,260901734,Snapdragon X X1 26 101,16.0,512.0,,,
897132,260901744,,8.0,256.0,,,
897142,260901751,,16.0,512.0,,,
897149,260901761,,16.0,512.0,,,
897157,260901767,,16.0,512.0,,,
897162,260901771,,32.0,2048.0,,,
897178,260901786,,32.0,512.0,,,
