product_id,sku,screen_size_inch,resolution,refresh_rate_hz,panel_type,response_time_ms
237957,210502582,23.8,Full HD,60.0,IPS,5.0
258865,210601396,32.0,Full HD,60.0,VA,8.0
263846,210601738,18.5,,60.0,TN,5.0
644187,210601996,27.0,Full HD,75.0,IPS,5.0
644154,210602226,23.8,Full HD,75.0,IPS,4.0
272318,210602227,24.0,,60.0,IPS,5.0
644153,210602229,27.0,Full HD,75.0,IPS,4.0
644155,210602230,27.0,,60.0,IPS,4.0
276635,210602367,34.0,,165.0,VA,1.0
296778,210700008,27.0,2K,170.0,IPS,1.0
644159,210801069,23.8,2K,75.0,IPS,4.0
365743,210801070,23.8,Full HD,75.0,IPS,4.0
376883,210900501,34.0,,60.0,IPS,5.0
376886,210900504,37.5,QHD,60.0,IPS,5.0
377253,210900553,23.8,Full HD,60.0,IPS,5.0
377254,210900554,34.0,,60.0,IPS,5.0
377260,210900560,27.0,Full HD,165.0,VA,1.0
643809,210900611,27.0,2K,60.0,IPS,5.0
388089,211001503,23.6,Full HD,60.0,,8.0
390025,211002912,23.8,Full HD,75.0,IPS,5.0
644156,211101724,31.5,,60.0,VA,4.0
397315,211101726,23.8,Full HD,60.0,IPS,5.0
398786,211103371,27.0,Full HD,165.0,VA,1.0
404408,211109625,23.8,Full HD,60.0,IPS,5.0
407304,211202194,32.0,1920 x 1080,60.0,VA,8.0
407563,211202450,27.0,Full HD,75.0,IPS,1.0
407966,211203640,27.0,Full HD,240.0,VA,1.0
410159,211209689,27.0,2K,75.0,IPS,4.0
644148,211210634,22.0,Full HD,60.0,VA,5.0
644151,220200735,23.8,Full HD,60.0,IPS,8.0
416681,220202583,28.0,2K,60.0,IPS,4.0
128608,220300510,31.5,Full HD,165.0,VA,1.0
420576,220400349,31.5,Full HD,75.0,IPS,4.0
420959,220401044,31.5,2K,165.0,VA,2.0
420960,220401045,31.5,Full HD,165.0,VA,5.0
420962,220401047,27.0,Full HD,165.0,IPS,1.0
420964,220401049,27.0,Full HD,240.0,IPS,1.0
420966,220401051,23.8,2K,60.0,IPS,5.0
420967,220401052,27.0,2K,60.0,IPS,5.0
424636,220503008,34.0,2K,144.0,VA,1.0
432208,220605606,30.0,,200.0,VA,1.0
432209,220605607,29.5,,220.0,IPS,1.0
437240,220609199,32.0,2K,75.0,IPS,4.0
437242,220609201,23.8,Full HD,60.0,IPS,5.0
437651,220609614,24.5,Full HD,360.0,IPS,3.0
437840,220609871,27.0,2K,75.0,VA,4.0
437892,220609924,27.0,2K,165.0,VA,1.0
441012,220700392,14.0,Full HD,60.0,IPS,6.0
441013,220700393,27.0,2K,60.0,IPS,8.0
441014,220700394,27.0,2K,75.0,IPS,4.0
441015,220700395,27.0,2K,75.0,IPS,8.0
441016,220700396,27.0,Full HD,60.0,IPS,8.0
441053,220700424,32.0,2K,175.0,IPS,1.0
441054,220700425,27.0,2K,165.0,IPS,1.0
441239,220700536,24.0,Full HD,75.0,VA,4.0
442458,220706572,27.0,,60.0,IPS,5.0
442466,220706581,29.0,,75.0,IPS,4.0
442596,220706668,23.8,Full HD,75.0,IPS,5.0
443171,220800093,23.6,Full HD,75.0,IPS,3.0
644050,220802043,21.5,Full HD,75.0,IPS,5.0
445794,220802044,23.8,Full HD,75.0,IPS,5.0
445987,220802197,23.8,Full HD,2422.0,IPS,4.0
445990,220802200,30.0,,60.0,IPS,5.0
447780,220805992,32.0,,60.0,VA,4.0
458576,220908261,27.0,Full HD,60.0,IPS,8.0
464182,220920751,27.0,Full HD,75.0,IPS,4.0
597141,221002845,21.45,Full HD,60.0,VA,5.0
466928,221003426,,,,,
467958,221100446,55.0,,165.0,VA,1.0
